,words,sentiment_vector
179,let,"[0.1606629206263961, 0.46486998789749395, 0.6094946996096626, 0.6023577593332029, 0.1541579099715306, 0.0]"
180,much,"[0.7487235593079655, 0.6628823664400882, 0.0, 0.0, 0.0, 0.0]"
181,days,"[0.06653635105119182, 0.9028405905317876, 0.32322072937612284, 0.21406879370780488, 0.1736510689257566, 0.0]"
182,worst,"[0.1923606951736448, 0.20564145625598143, 0.4506677583647127, -0.841921702210028, -0.09367696269374444, 0.0]"
183,crew,"[0.44632373072182213, 0.028005900342946834, 0.13016156401748594, 0.8849117267801672, 0.0, 0.0]"
184,who,"[0.19895993595047945, 0.29586666104518633, 0.9342793280216328, 0.0, 0.0, 0.0]"
185,baggage,"[0.7970623120599871, 0.366799715559083, 0.4789514004553865, 0.02748081805891562, 0.0, 0.0]"
186,flighted,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
187,before,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
188,fucking,"[0.850307912186494, 0.28465134093160965, 0.22371260207015062, -0.3819721720935759, 0.0, 0.0]"
189,two,"[0.9986786618769233, -0.05138998260087084, 0.0, 0.0, 0.0, 0.0]"
190,right,"[0.11809394505356599, 0.5887139085549775, 0.311063700331076, 0.7366879450296071, 0.0, 0.0]"
191,travel,"[0.03858256522286644, 0.8216782939392179, 0.5655826332530626, 0.058927513883509204, 0.0, 0.0]"
192,That,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
193,kidding,"[0.603382636525546, 0.4283706225036837, 0.6726276858078973, 0.0, 0.0, 0.0]"
194,made,"[0.775919379286936, 0.5209798575557864, 0.3557092982593069, 0.0, 0.0, 0.0]"
195,trip,"[0.13214539335329692, 0.20693096655988727, 0.3109613316927714, 0.6400304218059363, -0.6583170052861059, 0.0]"
196,experience,"[0.16556278227806426, 0.12645189142840943, 0.04068019722949807, 0.3780105347457688, 0.6020658075530583, 0.6704989223172512]"
197,other,"[0.020565757515764803, 0.15024848313018066, 0.9884343392127181, 0.0, 0.0, 0.0]"
198,their,"[0.20955024991711216, 0.9777978792980049, 0.0, 0.0, 0.0, 0.0]"
